Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740333966552,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,6401.516662597656,60029.33349609375,48430.188903808594,958.6204833984375,17024311296,8053063680,6488870912,0
199,1740333966552,2801,2801,2801,2801,2801,2801,2801,2801,100,67.01068115234375,99.01944732666016,65.36666870117188,80.49603271484375,70.12602996826172,86.8590087890625,68.67185974121094,6401.5234375,60029.42071533203,48430.262756347656,958.6204833984375,17024311296,8053063680,6488727552,0
199,1740333966753,2801,2801,2801,2801,2801,2801,2801,2801,8.461761474609375,3.6713027954101563,21.812110900878906,3.5719223022460938,15.161407470703125,4.6905364990234375,10.686607360839844,1.4139480590820313,6401.6832275390625,60030.917419433594,48431.492919921875,958.64599609375,17024311296,8053063680,6491082752,0
200,1740333966953,2801,2801,2801,2801,2801,2801,2801,2801,11.219161987304688,1.5551300048828125,13.547607421875,1.8262710571289063,17.522491455078125,6.980934143066406,8.179061889648438,5.455757141113281,6401.8221435546875,60032.233947753906,48432.5712890625,958.64599609375,17024311296,8053063680,6481182720,0
200,1740333967153,2801,2801,2801,2801,2801,2801,2801,2801,2.809295654296875,1.204681396484375,2.300018310546875,0.7014389038085938,4.697563171386719,2.4608001708984375,1.0131759643554688,1.2614059448242188,6401.939697265625,60032.68133544922,48432.81610107422,958.6510620117188,17024311296,8053063680,6477455360,0
199,1740333967354,2801,2801,2801,2801,2801,2801,2801,2801,6.61370849609375,5.086158752441406,3.9523544311523438,6.7551422119140625,1.98468017578125,3.374481201171875,2.3732376098632813,1.011962890625,6402.066650390625,60033.31329345703,48433.23895263672,958.6510620117188,17024311296,8053063680,6488170496,0
199,1740333967554,2801,2801,2801,2801,2801,2801,2801,2801,6.7606353759765625,4.516654968261719,9.50494384765625,2.8849868774414063,8.718368530273438,4.5974273681640625,3.316162109375,2.6471633911132813,6402.206115722656,60034.080505371094,48433.75762939453,958.68896484375,17024311296,8053063680,6488162304,0
200,1740333967754,2801,2801,2801,2801,2801,2801,2801,2801,8.136810302734375,1.2942276000976563,10.250999450683594,0.49135589599609375,5.704704284667969,3.7029342651367188,3.1726837158203125,1.632781982421875,6402.34912109375,60034.90368652344,48434.32580566406,958.7225341796875,17024311296,8053063680,6488162304,0
200,1740333967955,2801,2801,2801,2801,2801,2801,2801,2801,4.768135070800781,3.7226638793945313,7.1424713134765625,0.7309417724609375,3.0438079833984375,4.044075012207031,2.6537399291992188,1.3272705078125,6402.48828125,60035.63641357422,48434.781311035156,958.7503662109375,17024311296,8053063680,6487236608,0
200,1740333968155,2801,2801,2801,2801,2801,2801,2801,2801,9.635635375976563,2.3115386962890625,10.73699951171875,1.41802978515625,6.10040283203125,4.410636901855469,5.7408447265625,5.17877197265625,6402.639709472656,60036.576171875,48435.47766113281,958.7913208007813,17024311296,8053063680,6485868544,0
200,1740333968356,2801,2801,2801,2801,2801,2801,2801,2801,5.303306579589844,1.1210098266601563,7.173500061035156,0.47721099853515625,3.7735137939453125,5.798789978027344,2.5720138549804688,2.1445083618164063,6402.781311035156,60037.22686767578,48435.95538330078,958.8240966796875,17024311296,8053063680,6485979136,0
200,1740333968557,2801,2801,2801,2801,2801,2801,2801,2801,2.7039031982421875,2.8098983764648438,4.5657958984375,0,2.602783203125,2.8559036254882813,0.5554656982421875,0,6402.912780761719,60037.76739501953,48436.34783935547,958.8399658203125,17024311296,8053063680,6486462464,0
200,1740333968757,2801,2801,2801,2801,2801,2801,2801,2801,2.5375595092773438,0.5245437622070313,4.542144775390625,0.6368865966796875,5.282295227050781,2.8745346069335938,1.00079345703125,0.4686737060546875,6403.02685546875,60038.20324707031,48436.666259765625,958.8399658203125,17024311296,8053063680,6486462464,0
200,1740333968958,2801,2801,2801,2801,2801,2801,2801,2801,3.7454299926757813,0.48323822021484375,1.5472640991210938,0.4210052490234375,0.50897216796875,3.312713623046875,0.99749755859375,0.184417724609375,6403.1373291015625,60038.489990234375,48436.881103515625,958.8399658203125,17024311296,8053063680,6486458368,0
200,1740333969158,2801,2801,2801,2801,2801,2801,2801,2801,3.2924041748046875,0.47226715087890625,4.695640563964844,0.4576568603515625,1.1974716186523438,3.8653335571289063,1.5804367065429688,1.2159194946289063,6403.258850097656,60038.901306152344,48437.15252685547,958.8442993164063,17024311296,8053063680,6486028288,0
200,1740333969359,2801,2801,2801,2801,2801,2801,2801,2801,2.2780609130859375,0.30206298828125,0.7388763427734375,1.4857711791992188,1.2479248046875,4.749412536621094,0.7371368408203125,0.5897369384765625,6403.371276855469,60039.183349609375,48437.33337402344,958.8442993164063,17024311296,8053063680,6486028288,0
200,1740333969560,2801,2801,2801,2801,2801,2801,2801,2801,2.2447509765625,1.283966064453125,1.841888427734375,2.5674285888671875,0.23973846435546875,2.9618148803710938,0.2154998779296875,0.6274948120117188,6403.484802246094,60039.479064941406,48437.54626464844,958.8442993164063,17024311296,8053063680,6486368256,0
200,1740333969760,2801,2801,2801,2801,2801,2801,2801,2801,3.113006591796875,1.8673019409179688,3.6688232421875,4.3214569091796875,2.4048614501953125,4.6591033935546875,2.1062850952148438,2.107513427734375,6403.596374511719,60039.76885986328,48437.72784423828,958.8442993164063,17024311296,8053063680,6486020096,0
200,1740333969961,2801,2801,2801,2801,2801,2801,2801,2801,1.8031539916992188,0.04766845703125,3.0294342041015625,1.5555572509765625,0.45758056640625,3.5474929809570313,0.08868408203125,0.52020263671875,6403.7078857421875,60040.031005859375,48437.91735839844,958.8442993164063,17024311296,8053063680,6486040576,0
200,1740333970161,2801,2801,2801,2801,2801,2801,2801,2801,3.8071136474609375,0.31618499755859375,1.8076400756835938,0.47122955322265625,0.587188720703125,4.386802673339844,2.1723556518554688,0.8113021850585938,6403.825988769531,60040.36962890625,48438.139099121094,958.8490600585938,17024311296,8053063680,6486040576,0
200,1740333970362,2801,2801,2801,2801,2801,2801,2801,2801,1.7059402465820313,0.21620941162109375,0.44561767578125,0.31555938720703125,1.83966064453125,2.8047866821289063,2.4472579956054688,0.42771148681640625,6403.936767578125,60040.64685058594,48438.348205566406,958.8515014648438,17024311296,8053063680,6485372928,0
200,1740333970562,2801,2801,2801,2801,2801,2801,2801,2801,1.9265518188476563,1.9550399780273438,1.5903549194335938,0.44199371337890625,1.958038330078125,2.692291259765625,0.22674560546875,1.8446884155273438,6404.050598144531,60040.98498535156,48438.56384277344,958.8515014648438,17024311296,8053063680,6486163456,0
200,1740333970763,2801,2801,2801,2801,2801,2801,2801,2801,2.0274887084960938,0.4114227294921875,2.0291366577148438,1.1031951904296875,0.37024688720703125,4.4917144775390625,0.536834716796875,1.4090576171875,6404.163146972656,60041.3564453125,48438.8046875,958.8515014648438,17024311296,8053063680,6477807616,0
200,1740333970963,2801,2801,2801,2801,2801,2801,2801,2801,2.3525314331054688,0.09632110595703125,1.223876953125,0.01690673828125,0.9218215942382813,4.8238372802734375,1.7633743286132813,0.1893310546875,6404.275085449219,60041.73211669922,48439.02117919922,958.8515014648438,17024311296,8053063680,6476632064,0
200,1740333971164,2801,2801,2801,2801,2801,2801,2801,2801,2.8429946899414063,0.42804718017578125,2.3645858764648438,0.41373443603515625,0.8457260131835938,3.7280120849609375,3.4534530639648438,1.0759506225585938,6404.391784667969,60042.16082763672,48439.252197265625,958.8561401367188,17024311296,8053063680,6475284480,0
200,1740333971364,2801,2801,2801,2801,2801,2801,2801,2801,1.6955642700195313,0.279998779296875,1.6147613525390625,0.27541351318359375,0.7469329833984375,3.6036376953125,2.968475341796875,0.43251800537109375,6404.504333496094,60042.549255371094,48439.43811035156,958.8561401367188,17024311296,8053063680,6475284480,0
200,1740333971565,2801,2801,2801,2801,2801,2801,2801,2801,2.2753067016601563,1.3894500732421875,1.399169921875,0.3459930419921875,0.594024658203125,3.2571792602539063,1.0185470581054688,0.8926315307617188,6404.616149902344,60042.92755126953,48439.63671875,958.8561401367188,17024311296,8053063680,6475739136,0
200,1740333971765,2801,2801,2801,2801,2801,2801,2801,2801,1.5593414306640625,0.3450469970703125,1.6348342895507813,0.2366485595703125,0.6175918579101563,3.3575210571289063,2.6025619506835938,0.3555145263671875,6404.725769042969,60043.28332519531,48439.81866455078,958.8561401367188,17024311296,8053063680,6475730944,0
200,1740333971966,2801,2801,2801,2801,2801,2801,2801,2801,2.057464599609375,0.27027130126953125,4.348930358886719,0.27820587158203125,0.5098114013671875,4.2415771484375,0.810760498046875,0.3845062255859375,6404.837341308594,60043.702392578125,48440.04541015625,958.8561401367188,17024311296,8053063680,6475018240,0
200,1740333972166,2801,2801,2801,2801,2801,2801,2801,2801,2.8988723754882813,0.2186279296875,1.8923110961914063,0.48030853271484375,1.066619873046875,4.303337097167969,2.8012542724609375,0.609405517578125,6404.954833984375,60044.12731933594,48440.28845214844,958.8604736328125,17024311296,8053063680,6474641408,0
200,1740333972367,2801,2801,2801,2801,2801,2801,2801,2801,4.613471984863281,0.42899322509765625,2.2900314331054688,0.3962860107421875,0.9204177856445313,3.7166900634765625,1.4103469848632813,0.5609893798828125,6405.067687988281,60044.440979003906,48440.523498535156,958.8604736328125,17024311296,8053063680,6474641408,0
200,1740333972567,2801,2801,2801,2801,2801,2801,2801,2801,2.4277801513671875,1.5790786743164063,1.66009521484375,0.27681732177734375,2.4613571166992188,2.4255828857421875,3.0070037841796875,0.41394805908203125,6405.1844482421875,60044.77880859375,48440.773193359375,958.8604736328125,17024311296,8053063680,6475087872,0
200,1740333972768,2801,2801,2801,2801,2801,2801,2801,2801,4.480865478515625,0.273895263671875,2.3375396728515625,0.2958831787109375,0.6587295532226563,2.928558349609375,1.2067642211914063,0.7964019775390625,6405.2958984375,60045.08349609375,48441.003356933594,958.8604736328125,17024311296,8053063680,6474711040,0
200,1740333972968,2801,2801,2801,2801,2801,2801,2801,2801,2.4720077514648438,0.821807861328125,5.251762390136719,0.26087188720703125,0.8082962036132813,3.838897705078125,1.1096572875976563,0.6407623291015625,6405.410705566406,60045.460021972656,48441.231018066406,958.8604736328125,17024311296,8053063680,6474711040,0
200,1740333973169,2801,2801,2801,2801,2801,2801,2801,2801,2.403900146484375,0.24285888671875,1.6698532104492188,0.1008758544921875,0.3868255615234375,3.7671890258789063,2.8693923950195313,1.1336746215820313,6405.526184082031,60045.87530517578,48441.451110839844,958.864990234375,17024311296,8053063680,6474711040,0
200,1740333973370,2801,2801,2801,2801,2801,2801,2801,2801,1.9754562377929688,2.5543746948242188,2.9567489624023438,1.7523727416992188,3.2065658569335938,3.5645980834960938,1.93560791015625,0.5041656494140625,6405.641296386719,60046.396728515625,48441.75793457031,958.864990234375,17024311296,8053063680,6474387456,0
200,1740333973570,2801,2801,2801,2801,2801,2801,2801,2801,2.5655059814453125,1.6298980712890625,2.1167068481445313,0.2769927978515625,2.8449935913085938,5.404823303222656,2.06298828125,4.9999542236328125,6405.760070800781,60046.98889160156,48442.14093017578,958.864990234375,17024311296,8053063680,6475202560,0
200,1740333973771,2801,2801,2801,2801,2801,2801,2801,2801,2.4582443237304688,1.3083953857421875,4.816169738769531,1.2885055541992188,1.5871353149414063,4.255828857421875,1.2856903076171875,1.237335205078125,6405.869384765625,60047.348571777344,48442.330505371094,958.864990234375,17024311296,8053063680,6473441280,0
200,1740333973971,2801,2801,2801,2801,2801,2801,2801,2801,1.650421142578125,2.3924407958984375,1.6157302856445313,0.7748184204101563,0.339111328125,3.2509536743164063,0.2077789306640625,0.1849822998046875,6405.981201171875,60047.73712158203,48442.54541015625,958.864990234375,17024311296,8053063680,6473080832,0
200,1740333974172,2801,2801,2801,2801,2801,2801,2801,2801,2.374725341796875,2.4856109619140625,1.4162445068359375,0.7640151977539063,0.26050567626953125,3.981292724609375,0.42102813720703125,0.56500244140625,6406.099914550781,60048.09326171875,48442.783630371094,958.869140625,17024311296,8053063680,6473080832,0
200,1740333974372,2801,2801,2801,2801,2801,2801,2801,2801,4.52667236328125,0,1.4900054931640625,0.2646331787109375,0.37642669677734375,2.9540176391601563,0.4632720947265625,2.5501480102539063,6406.2137451171875,60048.41632080078,48443.035888671875,958.869140625,17024311296,8053063680,6473076736,0
199,1740333974573,2801,2801,2801,2801,2801,2801,2801,2801,1.7123794555664063,3.2168426513671875,1.3069915771484375,0.09966278076171875,0.35475921630859375,3.1884307861328125,0.27281951904296875,0.0972137451171875,6406.325378417969,60048.71423339844,48443.25927734375,958.869140625,17024311296,8053063680,6473650176,0
200,1740333974773,2801,2801,2801,2801,2801,2801,2801,2801,4.46484375,0.46646881103515625,3.467193603515625,0.510986328125,0.8800125122070313,3.3486175537109375,1.442626953125,0.39430999755859375,6406.438293457031,60049.162536621094,48443.5078125,958.869140625,17024311296,8053063680,6473625600,0
200,1740333974974,2801,2801,2801,2801,2801,2801,2801,2801,4.304908752441406,0.30754852294921875,2.7608718872070313,0.25888824462890625,1.1506729125976563,2.70233154296875,1.56103515625,0.6367416381835938,6406.5513916015625,60049.57781982422,48443.74102783203,958.869140625,17024311296,8053063680,6473433088,0
200,1740333975175,2801,2801,2801,2801,2801,2801,2801,2801,2.0541152954101563,0.1643524169921875,4.302024841308594,0.13177490234375,0.7929763793945313,3.1243362426757813,0.8271026611328125,1.1248245239257813,6406.668212890625,60050.02282714844,48443.97521972656,958.8741455078125,17024311296,8053063680,6473011200,0
200,1740333975375,2801,2801,2801,2801,2801,2801,2801,2801,1.3848495483398438,0.4788970947265625,1.8126068115234375,1.2063140869140625,3.0131378173828125,1.562042236328125,0.643280029296875,0.4215240478515625,6406.775634765625,60050.23358154297,48444.13952636719,958.8741455078125,17024311296,8053063680,6472966144,0
200,1740333975576,2801,2801,2801,2801,2801,2801,2801,2801,3.8005752563476563,0.23146820068359375,1.5018310546875,0.09040069580078125,1.0107269287109375,0.778411865234375,0.19586181640625,0.3543243408203125,6406.881042480469,60050.41766357422,48444.287658691406,958.8741455078125,17024311296,8053063680,6473568256,0
200,1740333975776,2801,2801,2801,2801,2801,2801,2801,2801,0.22762298583984375,2.3820571899414063,1.7483596801757813,0.9133682250976563,17.387611389160156,0.781982421875,0.1752166748046875,0.8022308349609375,6406.989196777344,60050.985778808594,48444.762634277344,958.8741455078125,17024311296,8053063680,6472175616,0
200,1740333975977,2801,2801,2801,2801,2801,2801,2801,2801,0.5020599365234375,0.22786712646484375,1.46783447265625,0.2333526611328125,0.7926406860351563,0.7784423828125,2.839385986328125,1.3051605224609375,6407.094970703125,60051.28967285156,48444.890625,958.8741455078125,17024311296,8053063680,6472155136,0
200,1740333976178,2801,2801,2801,2801,2801,2801,2801,2801,1.25360107421875,0.1785125732421875,2.2671966552734375,0.16839599609375,0.4288330078125,1.1605987548828125,2.3847274780273438,0.9163131713867188,6407.206970214844,60051.6669921875,48445.049072265625,958.8787231445313,17024311296,8053063680,6472155136,0
200,1740333976378,2801,2801,2801,2801,2801,2801,2801,2801,0.5574798583984375,0.18105316162109375,1.6930084228515625,0.2787628173828125,0.5110702514648438,0.7883377075195313,2.7719879150390625,0.28160858154296875,6407.311218261719,60051.94836425781,48445.166015625,958.8787231445313,17024311296,8053063680,6471766016,0
200,1740333976578,2801,2801,2801,2801,2801,2801,2801,2801,0.9827041625976563,1.7218475341796875,4.338783264160156,0.72772216796875,0.5794754028320313,0.873321533203125,0.210723876953125,0.33681488037109375,6407.4193115234375,60052.268493652344,48445.313537597656,958.8787231445313,17024311296,8053063680,6458257408,0
200,1740333976779,2801,2801,2801,2801,2801,2801,2801,2801,1.0038070678710938,1.4003829956054688,3.4922256469726563,0.06681060791015625,1.2006454467773438,0.7533340454101563,1.0862350463867188,0.4082489013671875,6407.524658203125,60052.57373046875,48445.45983886719,958.8787231445313,17024311296,8053063680,6458179584,0
200,1740333976980,2801,2801,2801,2801,2801,2801,2801,2801,0.4538421630859375,0.2838897705078125,11.151565551757813,0.38910675048828125,1.70587158203125,0.7978363037109375,4.021392822265625,1.2259368896484375,6407.636474609375,60053.1142578125,48445.832946777344,958.8787231445313,17024311296,8053063680,6457806848,0
200,1740333977180,2801,2801,2801,2801,2801,2801,2801,2801,0.9893722534179688,0.187835693359375,3.7844085693359375,0.1847991943359375,0.656890869140625,1.7465667724609375,0.34899139404296875,0.9802932739257813,6407.7486572265625,60053.37322998047,48445.99816894531,958.8831176757813,17024311296,8053063680,6457802752,0
200,1740333977381,2801,2801,2801,2801,2801,2801,2801,2801,1.7190780639648438,2.3751678466796875,1.755889892578125,0.29981231689453125,0.8474197387695313,0.7896652221679688,0.3028106689453125,0.3839111328125,6407.854675292969,60053.599609375,48446.14617919922,958.8831176757813,17024311296,8053063680,6457778176,0
