Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740334801063,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,6985.2659912109375,63289.626220703125,50954.81481933594,1059.315673828125,17024311296,8053063680,6740008960,0
200,1740334801063,2801,2801,2801,2801,2801,2801,2801,2801,100,73.97109985351563,99.2326889038086,73.85458374023438,97.94564819335938,74.95074462890625,80.27979278564453,81.92556762695313,6985.2744140625,63289.71368408203,50954.89569091797,1059.315673828125,17024311296,8053063680,6740299776,0
199,1740334801264,2801,2801,2801,2801,2801,2801,2801,2801,21.67462921142578,20.184326171875,28.309425354003906,33.48834991455078,15.730751037597656,36.792701721191406,31.134063720703125,26.29247283935547,6985.521911621094,63292.56628417969,50957.35430908203,1059.4086303710938,17024311296,8053063680,6751973376,0
200,1740334801464,2801,2801,2801,2801,2801,2801,2801,2801,41.39377212524414,40.711490631103516,30.28215789794922,33.302818298339844,48.64320373535156,45.83065414428711,35.39923858642578,26.217247009277344,6985.929748535156,63297.20935058594,50961.06396484375,1059.9445190429688,17024311296,8053063680,6765539328,0
200,1740334801664,2801,2801,2801,2801,2801,2801,2801,2801,13.502197265625,6.086219787597656,18.91399383544922,24.89746856689453,39.0226936340332,9.651611328125,20.072662353515625,6.106658935546875,6986.1397705078125,63299.31951904297,50962.844299316406,1060.0014038085938,17024311296,8053063680,6765592576,0
200,1740334801865,2801,2801,2801,2801,2801,2801,2801,2801,14.099960327148438,16.017601013183594,9.559074401855469,5.4983367919921875,9.665702819824219,4.8534393310546875,5.909339904785156,9.113876342773438,6986.3052978515625,63300.82244873047,50964.047912597656,1060.0512084960938,17024311296,8053063680,6758023168,0
200,1740334802066,2801,2801,2801,2801,2801,2801,2801,2801,1.007354736328125,0.5077133178710938,4.128211975097656,0.37818145751953125,0.5400314331054688,0.52752685546875,1.3491287231445313,1.0352859497070313,6986.41748046875,63301.146240234375,50964.21319580078,1060.0534057617188,17024311296,8053063680,6758023168,0
200,1740334802266,2801,2801,2801,2801,2801,2801,2801,2801,2.7699203491210938,0.41094970703125,1.6005859375,0.34618377685546875,0.2822113037109375,1.13702392578125,0.7075729370117188,1.579986572265625,6986.528747558594,63301.39422607422,50964.367248535156,1060.0555419921875,17024311296,8053063680,6757052416,0
200,1740334802467,2801,2801,2801,2801,2801,2801,2801,2801,14.595550537109375,3.4233169555664063,26.364486694335938,2.7715377807617188,12.332122802734375,5.8992767333984375,5.712158203125,7.231109619140625,6986.712585449219,63302.75329589844,50965.41064453125,1060.236572265625,17024311296,8053063680,6756671488,0
200,1740334802667,2801,2801,2801,2801,2801,2801,2801,2801,1.9818572998046875,1.2506637573242188,0.882354736328125,0.6835556030273438,1.7811965942382813,0,0,0,6986.824951171875,63303.00183105469,50965.588439941406,1060.236572265625,17024311296,8053063680,6765785088,0
200,1740334802868,2801,2801,2801,2801,2801,2801,2801,2801,8.788719177246094,0.6159820556640625,1.8674392700195313,1.22833251953125,0.7878952026367188,0.35672760009765625,3.3298187255859375,0.1277618408203125,6986.939025878906,63303.36633300781,50965.90441894531,1060.236572265625,17024311296,8053063680,6765916160,0
200,1740334803068,2801,2801,2801,2801,2801,2801,2801,2801,3.1063232421875,0.8882522583007813,2.3887405395507813,0.73370361328125,1.1745834350585938,0.9407958984375,3.4799880981445313,1.2460403442382813,6987.0582275390625,63303.76300048828,50966.14190673828,1060.253662109375,17024311296,8053063680,6765891584,0
200,1740334803269,2801,2801,2801,2801,2801,2801,2801,2801,3.3165206909179688,1.219482421875,5.149803161621094,2.2179718017578125,1.7470779418945313,1.5140304565429688,1.0261459350585938,1.81256103515625,6987.17333984375,63304.0849609375,50966.38507080078,1060.253662109375,17024311296,8053063680,6764564480,0
200,1740334803470,2801,2801,2801,2801,2801,2801,2801,2801,13.814414978027344,3.6171112060546875,16.627944946289063,2.8414459228515625,6.890838623046875,2.3185272216796875,7.944999694824219,5.29791259765625,6987.310974121094,63304.95703125,50967.16320800781,1060.261962890625,17024311296,8053063680,6754439168,0
200,1740334803671,2801,2801,2801,2801,2801,2801,2801,2801,70.81924438476563,24.426513671875,19.986976623535156,16.764076232910156,34.339637756347656,8.121101379394531,8.933784484863281,10.145286560058594,6987.5550537109375,63307.903564453125,50969.78137207031,1060.261962890625,17024311296,8053063680,6777098240,0
200,1740334803871,2801,2801,2801,2801,2801,2801,2801,2801,86.48038482666016,26.223663330078125,30.134872436523438,31.585342407226563,34.07123565673828,25.383644104003906,37.68080139160156,29.130859375,6987.841857910156,63311.59606933594,50973.096130371094,1060.302490234375,17024311296,8053063680,6791225344,0
200,1740334804071,2801,2801,2801,2801,2801,2801,2801,2801,81.64586639404297,14.127098083496094,32.05210876464844,23.125930786132813,43.8900146484375,26.11121368408203,31.894325256347656,24.2021484375,6988.15966796875,63315.266845703125,50976.30926513672,1060.4112548828125,17024311296,8053063680,6806372352,0
200,1740334804271,2801,2801,2801,2801,2801,2801,2801,2801,39.869903564453125,29.461074829101563,31.684967041015625,23.714736938476563,44.032928466796875,11.277565002441406,33.957611083984375,22.725845336914063,6988.4688720703125,63318.7236328125,50979.309631347656,1060.5244140625,17024311296,8053063680,6794932224,0
199,1740334804472,2801,2801,2801,2801,2801,2801,2801,2801,15.770454406738281,25.76129150390625,15.757850646972656,22.78399658203125,27.406883239746094,4.150108337402344,16.654991149902344,14.874771118164063,6988.691589355469,63321.02130126953,50981.292053222656,1060.5299072265625,17024311296,8053063680,6764490752,0
199,1740334804672,2801,2801,2801,2801,2801,2801,2801,2801,7.404304504394531,14.826766967773438,3.565338134765625,25.4937744140625,8.960975646972656,0.9381790161132813,6.729644775390625,5.516838073730469,6988.8717041015625,63322.411560058594,50982.43469238281,1060.5299072265625,17024311296,8053063680,6766514176,0
200,1740334804873,2801,2801,2801,2801,2801,2801,2801,2801,8.219657897949219,4.901451110839844,10.900741577148438,4.054176330566406,10.861862182617188,6.938529968261719,3.3877639770507813,6.827919006347656,6989.018371582031,63323.38592529297,50983.14373779297,1060.5520629882813,17024311296,8053063680,6764281856,0
200,1740334805073,2801,2801,2801,2801,2801,2801,2801,2801,2.3022232055664063,0,2.0070114135742188,0,3.0871124267578125,0.4375762939453125,0.6855850219726563,0.46039581298828125,6989.1357421875,63323.784423828125,50983.42657470703,1060.5545043945313,17024311296,8053063680,6763495424,0
200,1740334805274,2801,2801,2801,2801,2801,2801,2801,2801,1.9338531494140625,4.875267028808594,5.64501953125,2.1856689453125,1.4536056518554688,1.277374267578125,1.3468170166015625,3.0034332275390625,6989.251281738281,63324.150451660156,50983.719177246094,1060.5545043945313,17024311296,8053063680,6760861696,0
200,1740334805474,2801,2801,2801,2801,2801,2801,2801,2801,2.5525436401367188,0.7974090576171875,6.736175537109375,1.2394943237304688,2.9880447387695313,0.7574386596679688,2.27685546875,2.5162582397460938,6989.371398925781,63324.673400878906,50984.09655761719,1060.5608520507813,17024311296,8053063680,6752477184,0
200,1740334805675,2801,2801,2801,2801,2801,2801,2801,2801,1.7726593017578125,1.75079345703125,4.624320983886719,0.21164703369140625,1.8217391967773438,0.4492950439453125,3.7567672729492188,0.4974212646484375,6989.483947753906,63325.048400878906,50984.33068847656,1060.5608520507813,17024311296,8053063680,6752243712,0
200,1740334805875,2801,2801,2801,2801,2801,2801,2801,2801,2.0233383178710938,2.2934341430664063,3.83642578125,1.1780853271484375,1.1078033447265625,3.7031021118164063,3.3061752319335938,1.6247634887695313,6989.595520019531,63325.43542480469,50984.57684326172,1060.5608520507813,17024311296,8053063680,6755889152,0
199,1740334806076,2801,2801,2801,2801,2801,2801,2801,2801,34.15125274658203,17.608924865722656,35.42986297607422,37.71855163574219,38.12471389770508,13.1146240234375,24.166702270507813,18.06060028076172,6989.842834472656,63328.420166015625,50987.25732421875,1060.5771484375,17024311296,8053063680,6754996224,0
200,1740334806276,2801,2801,2801,2801,2801,2801,2801,2801,53.70291519165039,36.0439453125,34.39861297607422,33.834999084472656,43.98404312133789,44.44752502441406,40.68876647949219,44.73830032348633,6990.2130126953125,63332.722595214844,50991.019958496094,1060.744384765625,17024311296,8053063680,6728458240,0
