Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740400468209,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,8428.7548828125,81474.37286376953,64720.55194091797,2492.5180053710938,17024311296,8053063680,5425549312,0
200,1740400468209,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,8428.764221191406,81474.47546386719,64720.63513183594,2492.5180053710938,17024311296,8053063680,5426393088,0
199,1740400468410,2801,2801,2801,2801,2801,2801,2801,2801,8.742645263671875,6.626014709472656,7.8639068603515625,20.22382354736328,8.622291564941406,13.986274719238281,7.3345489501953125,17.06731414794922,8428.90234375,81475.52239990234,64721.39959716797,2492.546875,17024311296,8053063680,5426483200,0
200,1740400468610,2801,2801,2801,2801,2801,2801,2801,2801,1.1585311889648438,2.1894149780273438,9.414199829101563,17.069129943847656,1.0829010009765625,0.6552963256835938,1.6794509887695313,0.6293411254882813,8429.007934570313,81476.16271972656,64721.82824707031,2492.546875,17024311296,8053063680,5426364416,0
200,1740400468811,2801,2801,2801,2801,2801,2801,2801,2801,3.9086532592773438,3.6102523803710938,2.5235061645507813,12.001777648925781,2.6203994750976563,8.044952392578125,2.4071197509765625,1.2437286376953125,8429.127502441406,81476.88244628906,64722.32635498047,2492.5588989257813,17024311296,8053063680,5417828352,0
200,1740400469011,2801,2801,2801,2801,2801,2801,2801,2801,0.6487579345703125,3.4404525756835938,1.04437255859375,7.6721343994140625,1.7690277099609375,0.42969512939453125,1.852264404296875,0.9202728271484375,8429.235717773438,81477.30798339844,64722.601135253906,2492.5588989257813,17024311296,8053063680,5409177600,0
200,1740400469212,2801,2801,2801,2801,2801,2801,2801,2801,2.4013671875,5.9779205322265625,5.15277099609375,5.5145721435546875,4.422996520996094,1.7967529296875,4.584526062011719,1.9225082397460938,8429.356811523438,81477.78259277344,64722.972106933594,2492.5640258789063,17024311296,8053063680,5412007936,0
200,1740400469412,2801,2801,2801,2801,2801,2801,2801,2801,0,0,1.28021240234375,0,2.544219970703125,0,0.5345840454101563,0,8429.467041015625,81478.03259277344,64723.14587402344,2492.5706787109375,17024311296,8053063680,5412007936,0
200,1740400469613,2801,2801,2801,2801,2801,2801,2801,2801,0.5565109252929688,1.0232696533203125,1.9157333374023438,0.561737060546875,1.0521087646484375,0.38671112060546875,2.9020462036132813,0.37157440185546875,8429.572875976563,81478.2359008789,64723.31268310547,2492.5706787109375,17024311296,8053063680,5412032512,0
200,1740400469814,2801,2801,2801,2801,2801,2801,2801,2801,6.897544860839844,4.179039001464844,11.869239807128906,3.7210159301757813,15.517852783203125,2.8228683471679688,18.459091186523438,4.868171691894531,8429.714050292969,81479.25134277344,64724.173889160156,2492.5742797851563,17024311296,8053063680,5414940672,0
