Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740401171007,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,8984.294311523438,85743.91278076172,67806.82550048828,2622.6934204101563,17024311296,8053063680,6143528960,0
200,1740401171007,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,8984.300109863281,85744.01940917969,67806.88208007813,2622.6934204101563,17024311296,8053063680,6143553536,0
198,1740401171210,2801,2801,2801,2801,2801,2801,2801,2801,16.857749938964844,4.666328430175781,6.734443664550781,5.69451904296875,6.1704254150390625,4.500495910644531,6.212760925292969,5.107139587402344,8984.441955566406,85746.81115722656,67807.31408691406,2622.759521484375,17024311296,8053063680,6137565184,0
200,1740401171409,2801,2801,2801,2801,2801,2801,2801,2801,1.525299072265625,1.4169387817382813,4.580223083496094,1.0778274536132813,1.6908950805664063,1.3345413208007813,1.0286026000976563,1.0759811401367188,8984.545715332031,85749.11114501953,67807.42761230469,2622.759521484375,17024311296,8053063680,6137106432,0
200,1740401171609,2801,2801,2801,2801,2801,2801,2801,2801,24.058692932128906,3.5263900756835938,21.655105590820313,3.5678787231445313,9.795509338378906,6.6015167236328125,6.4964752197265625,14.76318359375,8984.746643066406,85752.91516113281,67808.7406616211,2622.9550170898438,17024311296,8053063680,6136520704,0
200,1740401171810,2801,2801,2801,2801,2801,2801,2801,2801,5.990211486816406,4.459320068359375,6.493934631347656,2.0718307495117188,4.263526916503906,2.6758880615234375,2.2723541259765625,2.1720199584960938,8984.862670898438,85755.46740722656,67809.03442382813,2622.9647216796875,17024311296,8053063680,6136324096,0
200,1740401172010,2801,2801,2801,2801,2801,2801,2801,2801,1.5938491821289063,1.1126480102539063,4.708465576171875,3.1219024658203125,0.8548583984375,0.7697601318359375,0.647003173828125,3.2035064697265625,8984.975219726563,85757.6416015625,67809.28234863281,2622.9647216796875,17024311296,8053063680,6139457536,0
200,1740401172211,2801,2801,2801,2801,2801,2801,2801,2801,2.6007003784179688,0.8294219970703125,2.8681488037109375,1.9136428833007813,4.363609313964844,0.785888671875,1.4296112060546875,1.691131591796875,8985.097412109375,85758.10461425781,67809.54754638672,2622.9853515625,17024311296,8053063680,6139404288,0
200,1740401172412,2801,2801,2801,2801,2801,2801,2801,2801,4.505744934082031,1.1013336181640625,10.829147338867188,1.0424118041992188,0.8292388916015625,1.2325286865234375,6.1922607421875,1.656585693359375,8985.212341308594,85758.58294677734,67809.94549560547,2622.9853515625,17024311296,8053063680,6116597760,0
200,1740401172612,2801,2801,2801,2801,2801,2801,2801,2801,8.499191284179688,2.3113937377929688,7.973304748535156,2.750762939453125,4.798896789550781,3.157501220703125,4.803619384765625,4.062843322753906,8985.335144042969,85759.06414794922,67810.36499023438,2622.9939575195313,17024311296,8053063680,6113902592,0
200,1740401172813,2801,2801,2801,2801,2801,2801,2801,2801,23.577651977539063,19.311294555664063,26.247962951660156,17.17876434326172,23.081741333007813,21.269882202148438,56.613399505615234,7.89630126953125,8985.568420410156,85762.01947021484,67812.99981689453,2622.9939575195313,17024311296,8053063680,6122778624,0
199,1740401173013,2801,2801,2801,2801,2801,2801,2801,2801,32.7564697265625,29.03569793701172,68.3236083984375,15.691474914550781,42.77713394165039,44.781654357910156,44.781097412109375,35.535316467285156,8985.876037597656,85766.09045410156,67816.62023925781,2623.097412109375,17024311296,8053063680,6136463360,0
200,1740401173213,2801,2801,2801,2801,2801,2801,2801,2801,34.219085693359375,29.13970947265625,40.44466018676758,22.985923767089844,45.828121185302734,25.52930450439453,57.74783706665039,23.085845947265625,8986.217407226563,85769.92456054688,67819.92364501953,2623.2692260742188,17024311296,8053063680,6135001088,0
200,1740401173413,2801,2801,2801,2801,2801,2801,2801,2801,14.993293762207031,9.80712890625,15.144256591796875,10.416580200195313,17.019699096679688,4.9449615478515625,9.861412048339844,9.091705322265625,8986.414672851563,85771.47827148438,67821.18249511719,2623.3284301757813,17024311296,8053063680,6137073664,0
200,1740401173613,2801,2801,2801,2801,2801,2801,2801,2801,18.821792602539063,13.808059692382813,25.58081817626953,39.88595199584961,43.152767181396484,9.018074035644531,16.370277404785156,11.999839782714844,8986.636657714844,85774.13500976563,67823.54211425781,2623.3284301757813,17024311296,8053063680,6162997248,0
200,1740401173814,2801,2801,2801,2801,2801,2801,2801,2801,5.751289367675781,5.243324279785156,7.9569091796875,4.236717224121094,8.291007995605469,0.8729248046875,9.517723083496094,4.057342529296875,8986.7744140625,85775.06201171875,67824.2314453125,2623.3284301757813,17024311296,8053063680,6161027072,0
200,1740401174015,2801,2801,2801,2801,2801,2801,2801,2801,10.285453796386719,6.238548278808594,7.330116271972656,3.8864517211914063,4.86749267578125,12.481231689453125,5.535545349121094,6.6281585693359375,8986.908020019531,85776.0347290039,67824.99249267578,2623.3345336914063,17024311296,8053063680,6163066880,0
200,1740401174215,2801,2801,2801,2801,2801,2801,2801,2801,1.2582244873046875,8.759468078613281,1.9721145629882813,0.6325759887695313,3.2615966796875,0.7572097778320313,1.2585220336914063,2.7450714111328125,8987.034118652344,85776.58093261719,67825.3349609375,2623.33935546875,17024311296,8053063680,6172086272,0
200,1740401174416,2801,2801,2801,2801,2801,2801,2801,2801,3.0406875610351563,5.4233856201171875,4.805839538574219,2.361053466796875,4.115806579589844,1.33209228515625,2.6688613891601563,4.80633544921875,8987.153259277344,85777.01745605469,67825.68530273438,2623.3439331054688,17024311296,8053063680,6164914176,0
200,1740401174617,2801,2801,2801,2801,2801,2801,2801,2801,5.388481140136719,0.04174041748046875,2.6719894409179688,0,3.5128021240234375,0.250701904296875,1.3573150634765625,0.3543243408203125,8987.273071289063,85777.58374023438,67826.01251220703,2623.3439331054688,17024311296,8053063680,6163943424,0
200,1740401174817,2801,2801,2801,2801,2801,2801,2801,2801,6.311058044433594,6.4558868408203125,24.632171630859375,0.7059860229492188,4.110649108886719,2.1994552612304688,1.8039169311523438,0.380157470703125,8987.394165039063,85778.50579833984,67826.791015625,2623.3439331054688,17024311296,8053063680,6166720512,0
200,1740401175018,2801,2801,2801,2801,2801,2801,2801,2801,8.754508972167969,3.4795455932617188,8.663009643554688,1.7120513916015625,13.919876098632813,1.7091598510742188,2.8026962280273438,5.625679016113281,8987.527221679688,85779.40026855469,67827.4467163086,2623.3497924804688,17024311296,8053063680,6165446656,0
200,1740401175218,2801,2801,2801,2801,2801,2801,2801,2801,12.609977722167969,9.250434875488281,11.6387939453125,23.727920532226563,12.127578735351563,3.55279541015625,8.637123107910156,5.9391632080078125,8987.686950683594,85780.9228515625,67828.69604492188,2623.35400390625,17024311296,8053063680,6172123136,0
199,1740401175419,2801,2801,2801,2801,2801,2801,2801,2801,51.20988082885742,32.09736633300781,41.288963317871094,39.90742492675781,52.68496322631836,28.33179473876953,36.9812126159668,32.52509307861328,8987.955444335938,85784.447265625,67831.90521240234,2623.35400390625,17024311296,8053063680,6180503552,0
200,1740401175619,2801,2801,2801,2801,2801,2801,2801,2801,51.880374908447266,39.53101348876953,41.51308822631836,33.68547058105469,57.053443908691406,58.07017517089844,60.86178207397461,57.9618034362793,8988.291931152344,85789.1328125,67836.1577758789,2623.4434204101563,17024311296,8053063680,6176546816,0
200,1740401175820,2801,2801,2801,2801,2801,2801,2801,2801,52.88928985595703,48.799095153808594,39.07941818237305,62.15000915527344,44.67155456542969,48.915283203125,42.06410217285156,78.54618835449219,8988.635620117188,85794.24633789063,67840.80041503906,2623.5660400390625,17024311296,8053063680,6191783936,0
200,1740401176020,2801,2801,2801,2801,2801,2801,2801,2801,35.682640075683594,35.709449768066406,30.26770782470703,19.88872528076172,37.03745651245117,21.27111053466797,54.983055114746094,47.855926513671875,8988.94287109375,85798.29681396484,67844.34289550781,2623.7108154296875,17024311296,8053063680,6207811584,0
200,1740401176220,2801,2801,2801,2801,2801,2801,2801,2801,10.867317199707031,11.871421813964844,8.308242797851563,3.7132492065429688,9.155792236328125,7.442787170410156,8.165245056152344,5.5967254638671875,8989.117126464844,85799.39270019531,67845.15539550781,2623.7864990234375,17024311296,8053063680,6219218944,0
200,1740401176421,2801,2801,2801,2801,2801,2801,2801,2801,8.414810180664063,1.0809783935546875,6.253303527832031,1.9666748046875,7.425048828125,1.42584228515625,6.45733642578125,1.9768295288085938,8989.267028808594,85800.1826171875,67845.68829345703,2623.8648681640625,17024311296,8053063680,6218899456,0
200,1740401176622,2801,2801,2801,2801,2801,2801,2801,2801,10.009803771972656,1.179290771484375,8.840644836425781,1.1125030517578125,4.97210693359375,2.5859375,5.0177459716796875,2.376190185546875,8989.418884277344,85800.98547363281,67846.25030517578,2623.9456787109375,17024311296,8053063680,6218997760,0
200,1740401176822,2801,2801,2801,2801,2801,2801,2801,2801,10.838508605957031,8.199203491210938,13.822532653808594,3.8376846313476563,9.757026672363281,1.481292724609375,17.51081085205078,5.747306823730469,8989.616760253906,85802.35302734375,67847.20770263672,2624.1393432617188,17024311296,8053063680,6217211904,0
200,1740401177022,2801,2801,2801,2801,2801,2801,2801,2801,11.363204956054688,11.917098999023438,12.679542541503906,9.383125305175781,16.224838256835938,6.404747009277344,33.413848876953125,17.985687255859375,8989.833435058594,85804.36224365234,67848.8125,2624.3036499023438,17024311296,8053063680,6214496256,0
200,1740401177223,2801,2801,2801,2801,2801,2801,2801,2801,16.005348205566406,33.6048583984375,14.499320983886719,18.629905700683594,9.166084289550781,3.493194580078125,5.947883605957031,28.924636840820313,8990.043029785156,85806.67443847656,67850.80090332031,2624.3777465820313,17024311296,8053063680,6213562368,0
200,1740401177424,2801,2801,2801,2801,2801,2801,2801,2801,6.9652252197265625,1.6630706787109375,7.641288757324219,2.326141357421875,6.188751220703125,3.4158172607421875,6.2047882080078125,1.7126312255859375,8990.193481445313,85807.48553466797,67851.34252929688,2624.4446411132813,17024311296,8053063680,6212083712,0
200,1740401177625,2801,2801,2801,2801,2801,2801,2801,2801,10.663406372070313,2.1156997680664063,7.1591949462890625,0.9589767456054688,4.729682922363281,2.6852645874023438,6.4968719482421875,2.7348251342773438,8990.345092773438,85808.28125,67851.89154052734,2624.5213623046875,17024311296,8053063680,6218792960,0
200,1740401177825,2801,2801,2801,2801,2801,2801,2801,2801,10.673942565917969,5.410346984863281,7.3227996826171875,0.74749755859375,3.8460769653320313,2.2748031616210938,8.032325744628906,1.7062454223632813,8990.494079589844,85809.10571289063,67852.47399902344,2624.5895385742188,17024311296,8053063680,6218543104,0
200,1740401178026,2801,2801,2801,2801,2801,2801,2801,2801,5.922019958496094,3.1926422119140625,6.141777038574219,3.1573486328125,3.1551132202148438,1.228973388671875,5.258003234863281,2.257598876953125,8990.640380859375,85809.82092285156,67852.95715332031,2624.6576538085938,17024311296,8053063680,6218137600,0
200,1740401178226,2801,2801,2801,2801,2801,2801,2801,2801,8.25286865234375,0.950439453125,17.620628356933594,3.118408203125,4.9180908203125,1.9138641357421875,4.283164978027344,2.4865264892578125,8990.7978515625,85810.82861328125,67853.693359375,2624.7401733398438,17024311296,8053063680,6217834496,0
200,1740401178426,2801,2801,2801,2801,2801,2801,2801,2801,15.509559631347656,7.968360900878906,18.246604919433594,4.392204284667969,14.676681518554688,7.194061279296875,21.131263732910156,5.237937927246094,8990.984985351563,85812.35510253906,67854.92413330078,2624.8270874023438,17024311296,8053063680,6234382336,0
200,1740401178627,2801,2801,2801,2801,2801,2801,2801,2801,6.793174743652344,4.156944274902344,7.533210754394531,1.16839599609375,4.0316162109375,1.2043991088867188,4.644172668457031,3.2261734008789063,8991.136596679688,85813.12371826172,67855.44360351563,2624.9033203125,17024311296,8053063680,6233919488,0
200,1740401178827,2801,2801,2801,2801,2801,2801,2801,2801,9.498825073242188,6.210052490234375,7.141166687011719,3.9028549194335938,3.5880279541015625,1.3935012817382813,6.702934265136719,2.2473907470703125,8991.286682128906,85813.95397949219,67856.02752685547,2624.970947265625,17024311296,8053063680,6232338432,0
200,1740401179027,2801,2801,2801,2801,2801,2801,2801,2801,6.4884796142578125,4.546234130859375,6.3477630615234375,1.0748825073242188,3.1755828857421875,1.7824325561523438,4.847259521484375,2.426025390625,8991.439086914063,85814.7359008789,67856.54638671875,2625.0502319335938,17024311296,8053063680,6232330240,0
200,1740401179228,2801,2801,2801,2801,2801,2801,2801,2801,7.705253601074219,3.5511856079101563,6.8364105224609375,2.1567611694335938,10.465545654296875,0.7224578857421875,16.67345428466797,1.89593505859375,8991.601684570313,85815.79357910156,67857.32507324219,2625.1422119140625,17024311296,8053063680,6241259520,0
