Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740330870584,2801,2801,2801,2801,2801,2801,2801,2801,26.60124969482422,0.49063873291015625,77.28121185302734,0,5.683250427246094,0,0,0,4207.402587890625,47141.159729003906,38242.03698730469,623.560302734375,17024311296,8053063680,6273818624,0
200,1740330870584,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,4207.406799316406,47141.21160888672,38242.093200683594,623.560302734375,17024311296,8053063680,6273449984,0
199,1740330870785,2801,2801,2801,2801,2801,2801,2801,2801,4.4463348388671875,2.5046615600585938,3.894561767578125,4.6021270751953125,2.1874923706054688,4.923713684082031,3.9190139770507813,2.763031005859375,4207.534851074219,47141.62841796875,38242.37023925781,623.5846557617188,17024311296,8053063680,6273204224,0
200,1740330870985,2801,2801,2801,2801,2801,2801,2801,2801,2.9476165771484375,0.8266372680664063,4.982154846191406,0.5760421752929688,0.8182525634765625,2.6934356689453125,0.7260284423828125,0.6194915771484375,4207.644592285156,47141.92645263672,38242.56787109375,623.5846557617188,17024311296,8053063680,6273044480,0
200,1740330871186,2801,2801,2801,2801,2801,2801,2801,2801,4.0735321044921875,0.9329299926757813,5.216667175292969,0.7052230834960938,1.1905136108398438,2.5362701416015625,2.1905670166015625,1.3682022094726563,4207.763854980469,47142.369689941406,38242.84344482422,623.5889282226563,17024311296,8053063680,6269571072,0
200,1740330871386,2801,2801,2801,2801,2801,2801,2801,2801,3.201202392578125,2.9011001586914063,2.1148223876953125,0.23365020751953125,2.68896484375,2.2113494873046875,0.6166305541992188,0.37834930419921875,4207.878112792969,47142.79754638672,38243.079650878906,623.5889282226563,17024311296,8053063680,6271361024,0
200,1740330871587,2801,2801,2801,2801,2801,2801,2801,2801,7.3515167236328125,6.166557312011719,10.179054260253906,1.5636978149414063,10.690185546875,3.636566162109375,3.4085693359375,3.366790771484375,4208.022521972656,47143.654846191406,38243.687255859375,623.624755859375,17024311296,8053063680,6270988288,0
200,1740330871787,2801,2801,2801,2801,2801,2801,2801,2801,2.89990234375,5.199714660644531,7.761848449707031,0.92431640625,4.7300872802734375,3.3694305419921875,2.5237579345703125,1.6026992797851563,4208.1614990234375,47144.32293701172,38244.14514160156,623.6510620117188,17024311296,8053063680,6270488576,0
200,1740330871988,2801,2801,2801,2801,2801,2801,2801,2801,4.592124938964844,1.5462875366210938,8.966415405273438,3.0490798950195313,3.464935302734375,4.233612060546875,2.2013015747070313,1.5340576171875,4208.303649902344,47145.014709472656,38244.649475097656,623.692138671875,17024311296,8053063680,6270115840,0
200,1740330872188,2801,2801,2801,2801,2801,2801,2801,2801,4.876411437988281,5.8896026611328125,10.124839782714844,1.706878662109375,5.0661773681640625,4.298240661621094,9.719718933105469,2.0945281982421875,4208.447814941406,47145.87432861328,38245.315490722656,623.7218017578125,17024311296,8053063680,6269820928,0
200,1740330872389,2801,2801,2801,2801,2801,2801,2801,2801,4.684661865234375,1.6374969482421875,8.98895263671875,0.44788360595703125,4.158233642578125,4.263343811035156,4.956840515136719,2.24017333984375,4208.590576171875,47146.58801269531,38245.845642089844,623.7653198242188,17024311296,8053063680,6269624320,0
200,1740330872590,2801,2801,2801,2801,2801,2801,2801,2801,3.4257431030273438,0.8418731689453125,3.4395065307617188,1.3245620727539063,1.896392822265625,4.991477966308594,1.8664627075195313,0.5897445678710938,4208.72509765625,47147.103088378906,38246.204528808594,623.7845458984375,17024311296,8053063680,6268895232,0
199,1740330872790,2801,2801,2801,2801,2801,2801,2801,2801,1.4063568115234375,0.6695632934570313,0.8262176513671875,1.428497314453125,2.9593658447265625,5.110107421875,1.9598464965820313,0.919342041015625,4208.838684082031,47147.450622558594,38246.475036621094,623.7845458984375,17024311296,8053063680,6270910464,0
200,1740330872990,2801,2801,2801,2801,2801,2801,2801,2801,3.2680435180664063,0.1533050537109375,18.702003479003906,0.05704498291015625,5.03662109375,2.9628829956054688,1.3130569458007813,1.1901016235351563,4208.959167480469,47148.13293457031,38247.068786621094,623.7845458984375,17024311296,8053063680,6269726720,0
200,1740330873191,2801,2801,2801,2801,2801,2801,2801,2801,16.472389221191406,12.46929931640625,44.988525390625,8.565017700195313,25.004119873046875,22.781143188476563,13.730247497558594,10.423881530761719,4209.1370849609375,47150.376220703125,38249.0634765625,623.7876586914063,17024311296,8053063680,6289002496,0
199,1740330873391,2801,2801,2801,2801,2801,2801,2801,2801,1.6544952392578125,1.5668182373046875,0.6259689331054688,3.000946044921875,0.7433395385742188,2.9676132202148438,0.443328857421875,0.43439483642578125,4209.250061035156,47150.658447265625,38249.267150878906,623.7876586914063,17024311296,8053063680,6289174528,0
199,1740330873591,2801,2801,2801,2801,2801,2801,2801,2801,3.0684585571289063,1.0698623657226563,2.9987945556640625,0.5586624145507813,0.6791763305664063,3.5064010620117188,2.9636077880859375,1.1174163818359375,4209.362487792969,47150.99737548828,38249.52410888672,623.7876586914063,17024311296,8053063680,6289600512,0
200,1740330873791,2801,2801,2801,2801,2801,2801,2801,2801,2.7030563354492188,0.36527252197265625,4.407142639160156,0.395263671875,0.818206787109375,4.391746520996094,0.7848739624023438,0.46947479248046875,4209.476867675781,47151.295837402344,38249.74395751953,623.7876586914063,17024311296,8053063680,6292459520,0
200,1740330873992,2801,2801,2801,2801,2801,2801,2801,2801,2.2907943725585938,0.9661331176757813,2.1119537353515625,0.1409454345703125,2.943023681640625,3.010955810546875,0.43831634521484375,0.78509521484375,4209.588073730469,47151.579650878906,38249.95184326172,623.7876586914063,17024311296,8053063680,6292049920,0
200,1740330874193,2801,2801,2801,2801,2801,2801,2801,2801,3.503875732421875,0.7729110717773438,5.8596954345703125,0.6820831298828125,0.8290786743164063,5.894950866699219,1.0604705810546875,2.21630859375,4209.7110595703125,47152.05029296875,38250.27111816406,623.79296875,17024311296,8053063680,6291681280,0
