Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740408130175,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,14346.259826660156,126779.36254882813,96648.00964355469,4161.401550292969,17024311296,8053063680,5420228608,0
200,1740408130176,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,14346.264282226563,126779.45037841797,96648.06732177734,4161.401550292969,17024311296,8053063680,5419896832,0
199,1740408130376,2801,2801,2801,2801,2801,2801,2801,2801,100,5.243751525878906,6.282356262207031,9.41070556640625,8.501579284667969,5.422950744628906,6.1572723388671875,8.584129333496094,14346.391540527344,126783.37023925781,96649.66607666016,4161.446594238281,17024311296,8053063680,5419896832,0
200,1740408130576,2801,2801,2801,2801,2801,2801,2801,2801,100,1.1923294067382813,2.7659988403320313,2.7975540161132813,1.2929840087890625,1.0333709716796875,4.581108093261719,1.333221435546875,14346.509765625,126787.26153564453,96651.29205322266,4161.446594238281,17024311296,8053063680,5392547840,0
200,1740408130776,2801,2801,2801,2801,2801,2801,2801,2801,26.053970336914063,31.268218994140625,67.531005859375,11.470298767089844,8.374725341796875,6.035270690917969,7.073127746582031,6.425773620605469,14346.695922851563,126790.45446777344,96653.6224975586,4161.446594238281,17024311296,8053063680,5002964992,0
200,1740408130977,2801,2801,2801,2801,2801,2801,2801,2801,0.387451171875,26.341331481933594,5.8102264404296875,1.226531982421875,0.547210693359375,1.6734237670898438,2.0723342895507813,1.6023178100585938,14346.807800292969,126791.83898925781,96654.31463623047,4161.446594238281,17024311296,8053063680,4985454592,0
200,1740408131178,2801,2801,2801,2801,2801,2801,2801,2801,1.2347564697265625,0.30336761474609375,1.5386276245117188,0.8155288696289063,2.8010406494140625,0.129364013671875,0.41080474853515625,36.40264892578125,14346.928283691406,126794.654296875,96655.03393554688,4161.457336425781,17024311296,8053063680,4984758272,0
200,1740408131378,2801,2801,2801,2801,2801,2801,2801,2801,16.45110321044922,0.36125946044921875,9.051246643066406,0.5018310546875,9.773414611816406,1.7229385375976563,7.5939483642578125,1.2864837646484375,14347.053344726563,126797.6812133789,96655.83599853516,4161.457336425781,17024311296,8053063680,4983533568,0
200,1740408131579,2801,2801,2801,2801,2801,2801,2801,2801,0.5181350708007813,0.7864761352539063,2.196502685546875,0.042816162109375,2.65997314453125,1.1141738891601563,1.8667144775390625,0.6282882690429688,14347.159851074219,126800.03747558594,96656.03063964844,4161.457336425781,17024311296,8053063680,4982177792,0
200,1740408131780,2801,2801,2801,2801,2801,2801,2801,2801,2.3545074462890625,1.270538330078125,3.6778106689453125,0,0.03662872314453125,0,1.2912673950195313,0.40402984619140625,14347.264953613281,126802.34143066406,96656.18426513672,4161.457336425781,17024311296,8053063680,4981907456,0
200,1740408131980,2801,2801,2801,2801,2801,2801,2801,2801,0.8303909301757813,3.1194915771484375,2.0870819091796875,0.9035415649414063,1.1060028076171875,0.6638565063476563,1.1745223999023438,1.0610122680664063,14347.373046875,126804.68383789063,96656.32800292969,4161.457336425781,17024311296,8053063680,4984532992,0
