Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740336607182,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,8305.315673828125,71312.67822265625,57294.14025878906,1304.9014892578125,17024311296,8053063680,6838976512,0
199,1740336607182,2801,2801,2801,2801,2801,2801,2801,2801,77.94181823730469,99.16724395751953,98.86366271972656,100,78.05365753173828,100,85.34333038330078,75.39369201660156,8305.324096679688,71312.77966308594,57294.237854003906,1304.9014892578125,17024311296,8053063680,6842384384,0
199,1740336607383,2801,2801,2801,2801,2801,2801,2801,2801,54.42538833618164,28.05054473876953,37.4810905456543,35.481048583984375,40.49765396118164,48.32600021362305,49.420654296875,25.840599060058594,8305.646301269531,71316.84655761719,57297.900146484375,1304.9882202148438,17024311296,8053063680,6862307328,0
200,1740336607583,2801,2801,2801,2801,2801,2801,2801,2801,31.629501342773438,31.098175048828125,46.480247497558594,20.2796630859375,52.617305755615234,15.990814208984375,43.99953079223633,13.03759765625,8305.98681640625,71320.89050292969,57301.167724609375,1305.3956909179688,17024311296,8053063680,6889996288,0
199,1740336607784,2801,2801,2801,2801,2801,2801,2801,2801,8.046516418457031,8.829833984375,8.246772766113281,7.408935546875,13.641059875488281,1.2222747802734375,22.032676696777344,2.8477096557617188,8306.153930664063,71322.32330322266,57302.360595703125,1305.4207763671875,17024311296,8053063680,6893326336,0
200,1740336607984,2801,2801,2801,2801,2801,2801,2801,2801,11.775810241699219,6.298179626464844,9.926177978515625,6.3438873291015625,9.873634338378906,2.7107467651367188,6.564109802246094,7.910972595214844,8306.30419921875,71323.3568725586,57303.14343261719,1305.4632568359375,17024311296,8053063680,6888763392,0
200,1740336608185,2801,2801,2801,2801,2801,2801,2801,2801,1.0112380981445313,0.42742919921875,1.1153106689453125,0,3.216552734375,0.28655242919921875,2.0323944091796875,2.50640869140625,8306.420043945313,71323.68273925781,57303.3837890625,1305.467529296875,17024311296,8053063680,6882500608,0
199,1740336608385,2801,2801,2801,2801,2801,2801,2801,2801,6.061241149902344,3.0835800170898438,2.8500213623046875,2.5947723388671875,2.5078582763671875,1.4091262817382813,1.9222183227539063,4.264030456542969,8306.534851074219,71324.08465576172,57303.66387939453,1305.467529296875,17024311296,8053063680,6890086400,0
200,1740336608586,2801,2801,2801,2801,2801,2801,2801,2801,8.747970581054688,5.0631561279296875,26.434661865234375,3.0009384155273438,17.80231475830078,3.0348587036132813,5.5387725830078125,7.093589782714844,8306.723083496094,71325.50744628906,57304.73162841797,1305.6616821289063,17024311296,8053063680,6889594880,0
200,1740336608787,2801,2801,2801,2801,2801,2801,2801,2801,0.7756118774414063,2.13775634765625,0.44443511962890625,0.140106201171875,0.350311279296875,0.15570068359375,2.3273391723632813,0.28409576416015625,8306.829284667969,71325.68341064453,57304.86602783203,1305.6616821289063,17024311296,8053063680,6889570304,0
199,1740336608988,2801,2801,2801,2801,2801,2801,2801,2801,2.026763916015625,1.6172027587890625,1.03009033203125,5.515922546386719,0.7733078002929688,4.876716613769531,1.8344879150390625,0.6109390258789063,8306.941284179688,71326.0199584961,57305.149475097656,1305.6668701171875,17024311296,8053063680,6889213952,0
200,1740336609188,2801,2801,2801,2801,2801,2801,2801,2801,4.23309326171875,0.3017425537109375,0.7689285278320313,0.40984344482421875,1.6464691162109375,1.7582931518554688,0.7019424438476563,0.5745391845703125,8307.057434082031,71326.29724121094,57305.32781982422,1305.6802978515625,17024311296,8053063680,6889185280,0
200,1740336609389,2801,2801,2801,2801,2801,2801,2801,2801,1.039459228515625,1.2875289916992188,0.6034698486328125,0.2901763916015625,1.002532958984375,1.84027099609375,2.5620498657226563,0.5480117797851563,8307.164306640625,71326.48767089844,57305.48028564453,1305.6802978515625,17024311296,8053063680,6890876928,0
200,1740336609589,2801,2801,2801,2801,2801,2801,2801,2801,26.595321655273438,2.7900161743164063,11.517105102539063,12.031646728515625,10.541481018066406,3.4697036743164063,7.252769470214844,5.291099548339844,8307.320068359375,71327.72521972656,57306.5263671875,1305.688232421875,17024311296,8053063680,6890938368,0
200,1740336609790,2801,2801,2801,2801,2801,2801,2801,2801,83.89875030517578,14.146034240722656,16.53607177734375,16.09099578857422,27.362770080566406,8.773033142089844,13.162406921386719,13.762657165527344,8307.55810546875,71330.63055419922,57309.11633300781,1305.7052612304688,17024311296,8053063680,6906994688,0
199,1740336609990,2801,2801,2801,2801,2801,2801,2801,2801,54.06953811645508,56.89653015136719,52.70560836791992,47.32337188720703,56.33554458618164,35.13508605957031,49.118614196777344,42.89383316040039,8307.925537109375,71334.984375,57312.96789550781,1305.8328857421875,17024311296,8053063680,6897188864,0
200,1740336610190,2801,2801,2801,2801,2801,2801,2801,2801,60.192115783691406,23.766250610351563,30.101852416992188,28.357032775878906,38.898719787597656,17.18909454345703,36.57467269897461,20.15587615966797,8308.246948242188,71338.63250732422,57316.134765625,1305.9715576171875,17024311296,8053063680,6901170176,0
200,1740336610391,2801,2801,2801,2801,2801,2801,2801,2801,59.337608337402344,30.697792053222656,28.39423370361328,26.41387176513672,38.82166290283203,24.750259399414063,23.204872131347656,24.30170440673828,8308.519775390625,71341.7640991211,57318.89044189453,1306.0032958984375,17024311296,8053063680,6909812736,0
200,1740336610591,2801,2801,2801,2801,2801,2801,2801,2801,8.413848876953125,3.6327590942382813,8.868858337402344,0.2491912841796875,1.5221710205078125,1.3799972534179688,0.7756500244140625,1.3417510986328125,8308.647399902344,71342.35461425781,57319.32257080078,1306.0032958984375,17024311296,8053063680,6909784064,0
200,1740336610792,2801,2801,2801,2801,2801,2801,2801,2801,9.565361022949219,2.8198471069335938,7.113929748535156,3.6656494140625,4.0595245361328125,2.932464599609375,3.6243896484375,5.353202819824219,8308.781433105469,71343.03674316406,57319.86553955078,1306.0032958984375,17024311296,8053063680,6899646464,0
200,1740336610993,2801,2801,2801,2801,2801,2801,2801,2801,3.234619140625,7.919349670410156,3.9592437744140625,1.56219482421875,1.168365478515625,2.5676498413085938,1.6801681518554688,3.5896453857421875,8308.90869140625,71343.73944091797,57320.36926269531,1306.0101928710938,17024311296,8053063680,6899523584,0
200,1740336611193,2801,2801,2801,2801,2801,2801,2801,2801,2.0307159423828125,1.170166015625,3.6847991943359375,0.8287353515625,1.309112548828125,2.3207778930664063,1.4314956665039063,1.1872177124023438,8309.020751953125,71344.05963134766,57320.574951171875,1306.0151977539063,17024311296,8053063680,6898319360,0
200,1740336611394,2801,2801,2801,2801,2801,2801,2801,2801,3.4431228637695313,2.8510284423828125,3.1180648803710938,3.0370254516601563,1.1048965454101563,0.79473876953125,0.6003646850585938,0.7322921752929688,8309.136535644531,71344.40240478516,57320.82775878906,1306.018310546875,17024311296,8053063680,6900940800,0
200,1740336611595,2801,2801,2801,2801,2801,2801,2801,2801,1.6846923828125,0.7188262939453125,1.0873565673828125,1.9683685302734375,0.264739990234375,0.1707611083984375,3.025177001953125,0.31905364990234375,8309.242431640625,71344.61047363281,57320.98944091797,1306.018310546875,17024311296,8053063680,6900867072,0
200,1740336611795,2801,2801,2801,2801,2801,2801,2801,2801,1.7288360595703125,1.5183639526367188,5.871955871582031,0.110076904296875,5.062919616699219,0.47237396240234375,2.101409912109375,0.8983078002929688,8309.357482910156,71345.0521850586,57321.26092529297,1306.018310546875,17024311296,8053063680,6901018624,0
199,1740336611996,2801,2801,2801,2801,2801,2801,2801,2801,3.4215774536132813,1.5900039672851563,4.8507232666015625,0.756072998046875,2.4329605102539063,0.7494964599609375,1.0499420166015625,0.4551239013671875,8309.473815917969,71345.52770996094,57321.5361328125,1306.0230712890625,17024311296,8053063680,6888554496,0
199,1740336612196,2801,2801,2801,2801,2801,2801,2801,2801,48.66525650024414,14.358123779296875,38.552608489990234,12.307624816894531,26.19306182861328,19.812522888183594,15.234207153320313,34.38050842285156,8309.69482421875,71348.21545410156,57323.95422363281,1306.0382080078125,17024311296,8053063680,6891700224,0
200,1740336612396,2801,2801,2801,2801,2801,2801,2801,2801,56.9746208190918,40.324745178222656,44.76542663574219,54.146121978759766,42.76593780517578,41.79555130004883,46.747093200683594,36.659759521484375,8310.067626953125,71352.66925048828,57327.86248779297,1306.2075805664063,17024311296,8053063680,6879756288,0
199,1740336612597,2801,2801,2801,2801,2801,2801,2801,2801,50.800628662109375,35.834312438964844,47.14209747314453,31.309906005859375,45.62702178955078,44.632781982421875,45.524208068847656,42.692081451416016,8310.3935546875,71356.88592529297,57331.67852783203,1306.2567749023438,17024311296,8053063680,6883287040,0
199,1740336612798,2801,2801,2801,2801,2801,2801,2801,2801,47.43804931640625,40.11532974243164,51.72475051879883,33.765968322753906,42.169349670410156,36.43403625488281,46.605018615722656,37.18925476074219,8310.692932128906,71360.32147216797,57334.662536621094,1306.3671264648438,17024311296,8053063680,6947397632,0
