Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740409183100,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,15166.855407714844,133080.41760253906,101161.26483154297,4353.001708984375,17024311296,8053063680,5577535488,0
200,1740409183100,2801,2801,2801,2801,2801,2801,2801,2801,100,100,100,100,100,100,100,100,15166.864013671875,133080.55181884766,101161.34216308594,4353.001708984375,17024311296,8053063680,5577613312,0
199,1740409183301,2801,2801,2801,2801,2801,2801,2801,2801,14.879997253417969,8.16845703125,100,7.3595733642578125,29.174514770507813,8.053817749023438,14.0997314453125,9.681739807128906,15167.028137207031,133084.94073486328,101163.3423461914,4353.0447998046875,17024311296,8053063680,5554188288,0
199,1740409183501,2801,2801,2801,2801,2801,2801,2801,2801,5.285606384277344,0.31833648681640625,100,2.748443603515625,0.5351333618164063,0.262908935546875,1.4416275024414063,0.22457122802734375,15167.140380859375,133088.81311035156,101164.93536376953,4353.0447998046875,17024311296,8053063680,5553381376,0
200,1740409183701,2801,2801,2801,2801,2801,2801,2801,2801,12.667900085449219,22.122047424316406,34.07481384277344,15.557052612304688,57.23528289794922,6.878639221191406,7.4631805419921875,9.2073974609375,15167.30908203125,133092.27954101563,101167.32641601563,4353.0447998046875,17024311296,8053063680,5189152768,0
200,1740409183902,2801,2801,2801,2801,2801,2801,2801,2801,19.869491577148438,30.856613159179688,16.027267456054688,2.2606048583984375,2.697723388671875,3.1287078857421875,3.6354293823242188,7.0311737060546875,15167.453735351563,133094.18237304688,101168.4741821289,4353.0447998046875,17024311296,8053063680,4992311296,0
200,1740409184103,2801,2801,2801,2801,2801,2801,2801,2801,38.70330047607422,1.2054672241210938,3.9449691772460938,0.9272384643554688,0.36260986328125,0.2891845703125,0.30107879638671875,0.9097671508789063,15167.572998046875,133096.71490478516,101169.24377441406,4353.057312011719,17024311296,8053063680,4991881216,0
200,1740409184303,2801,2801,2801,2801,2801,2801,2801,2801,3.107025146484375,0.34954833984375,1.3870849609375,0.3219451904296875,0.30062103271484375,0.10945892333984375,0.8176193237304688,0.7033843994140625,15167.682434082031,133099.05004882813,101169.37982177734,4353.062805175781,17024311296,8053063680,4991881216,0
200,1740409184504,2801,2801,2801,2801,2801,2801,2801,2801,1.932464599609375,0.5247344970703125,2.25579833984375,0.79345703125,2.5988616943359375,0.289947509765625,0.44297027587890625,0.2762908935546875,15167.788146972656,133101.38873291016,101169.54016113281,4353.062805175781,17024311296,8053063680,4990337024,0
200,1740409184705,2801,2801,2801,2801,2801,2801,2801,2801,0.8844833374023438,0.29158782958984375,1.394683837890625,0.6183547973632813,2.3733291625976563,0.1696319580078125,1.1551055908203125,0.11707305908203125,15167.893249511719,133103.68377685547,101169.66845703125,4353.062805175781,17024311296,8053063680,4984918016,0
200,1740409184905,2801,2801,2801,2801,2801,2801,2801,2801,0.6175079345703125,0.26319122314453125,1.2967910766601563,0.143829345703125,0.326263427734375,0.11368560791015625,2.3788604736328125,0.08599090576171875,15167.996459960938,133105.93780517578,101169.76446533203,4353.062805175781,17024311296,8053063680,4984918016,0
200,1740409185106,2801,2801,2801,2801,2801,2801,2801,2801,2.704498291015625,1.1743011474609375,3.6040878295898438,0.47003173828125,0.5240249633789063,0.6186904907226563,0.44647216796875,1.0244903564453125,15168.109130859375,133108.32208251953,101169.9536743164,4353.075256347656,17024311296,8053063680,4984791040,0
